CustomerID,ChurnProbability,RiskBand,PredictedChurn,ActualChurn
CUST-1003,0.8639596044493593,High,Yes,Yes
CUST-1007,0.8598767820734377,High,Yes,Yes
CUST-1014,0.835355474175608,High,Yes,Yes
CUST-1005,0.8293400865077246,High,Yes,Yes
CUST-1010,0.8183942801368629,High,Yes,Yes
CUST-1001,0.7909728019837509,High,Yes,Yes
CUST-1012,0.7634745706417316,High,Yes,Yes
CUST-1006,0.3293468438988172,Low,No,No
CUST-1013,0.282231820596944,Low,No,No
CUST-1009,0.2477404993138659,Low,No,No
CUST-1002,0.1604213355999795,Low,No,No
CUST-1011,0.1280769397802177,Low,No,No
CUST-1015,0.12085846646184789,Low,No,No
CUST-1004,0.08403496507998605,Low,No,No
CUST-1008,0.07098204899619974,Low,No,No
